CLASS_1,CLASS_2,COUNTRY,SECTOR,Million kWh,,,,,
1,1,CHINA,HYDRO,1232900,,,,,
1,2,CHINA,THERMAL,4923100,,,,,
1,3,CHINA,NUCLEAR,294400,,,,,
1,4,CHINA,WIND,366000,,,,,
1,5,CHINA,SOLAR,177500,,,,,
2,1,JAPAN,CONVENTIONAL THERMAL,807873,,,,,
2,2,JAPAN,NUCLEAR,47467,,,,,
2,3,JAPAN,HYDRO,88741,,,,,
2,4,JAPAN,WIND,6635,,,,,
2,5,JAPAN,SOLAR,72412,,,,,
2,6,JAPAN,GEOTHERMAL,2254,,,,,
2,7,JAPAN,NON-SPECIFIED,18526,,,,,
3,1,AMERICAN,COAL,1146393,,,,,
3,2,AMERICAN,PETROLEUM LIQUID,15742,,,,,
3,3,AMERICAN,PETROLEUM COKE,8830,,,,,
3,4,AMERICAN,NATURAL GAS,1468013,,,,,
3,5,AMERICAN,OTHER GASES,12191,,,,,
3,6,AMERICAN,NUCLEAR,807078,,,,,
3,7,AMERICAN,CONVENTIONAL HYDROELECTRIC,291724,,,,,
3,8,AMERICAN,OTHER RENEWABLES,421049,,,,,
3,9,AMERICAN,OTHER,12695,,,,,